0.png	0+5=?
156.png	4-0=?
157.png	0+8=?
158.png	8+3=?
159.png	9-2=?
160.png	3+7=?
161.png	1*9=?
162.png	0/7=?
163.png	0/7=?
164.png	7-5=?
165.png	0+6=?
166.png	9+5=?
167.png	0/5=?
168.png	0/5=?
169.png	8+5=?
170.png	1-1=?
171.png	9*9=?
172.png	0*7=?
173.png	5-0=?
174.png	7-6=?
175.png	0/3=?
176.png	9+3=?
177.png	7-3=?
178.png	4*3=?
179.png	3/1=?
180.png	4/2=?
181.png	9-1=?
182.png	9-7=?
183.png	5*6=?
184.png	9+6=?
185.png	0/3=?
186.png	3*8=?
187.png	8/1=?
188.png	8/2=?
189.png	0*8=?
190.png	0+9=?
191.png	7*7=?
192.png	6-0=?
193.png	2*3=?
194.png	3-0=?
195.png	5+2=?
196.png	2*6=?
197.png	8+1=?
198.png	6-0=?
199.png	8*3=?
200.png	0/5=?
201.png	7*9=?
202.png	7+5=?
203.png	3-0=?
204.png	5/1=?
205.png	4*7=?
206.png	2*6=?
207.png	0/4=?
208.png	3+7=?
209.png	0+6=?
210.png	4+5=?
211.png	7-5=?
212.png	4/2=?
213.png	9-3=?
214.png	7+2=?
215.png	4/1=?
216.png	9+3=?
217.png	0+3=?
218.png	5*2=?
219.png	2+1=?
220.png	4*4=?
221.png	6+1=?
222.png	3*9=?
223.png	0+6=?
224.png	9*6=?
225.png	5+7=?
226.png	0/3=?
227.png	5-3=?
228.png	2*4=?
229.png	9*6=?
230.png	7*2=?
231.png	8-3=?
232.png	0+7=?
233.png	2*6=?
234.png	0+8=?
235.png	5/1=?
236.png	0+4=?
237.png	8+6=?
238.png	6/3=?
239.png	0+4=?
240.png	2*8=?
241.png	5-1=?
242.png	6/1=?
243.png	5*3=?
244.png	5+9=?
245.png	6-4=?
246.png	5*8=?
247.png	4*0=?
248.png	4+7=?
249.png	0+3=?
250.png	4-2=?
251.png	7/1=?
252.png	8+2=?
253.png	8-3=?
254.png	2+5=?
255.png	0/3=?
256.png	8-1=?
257.png	0/2=?
258.png	9+1=?
259.png	9+8=?
260.png	5*0=?
261.png	6+1=?
262.png	7-2=?
263.png	5-1=?
264.png	8*6=?
265.png	7/1=?
266.png	8/4=?
267.png	7-0=?
268.png	4+6=?
269.png	5*4=?
270.png	6-0=?
271.png	4+9=?
272.png	9/3=?
273.png	9*6=?
274.png	5-3=?
275.png	0+0=?
276.png	9+1=?
277.png	8+3=?
278.png	4+2=?
279.png	7+5=?
280.png	4+3=?
281.png	7+9=?
282.png	2+7=?
283.png	2+9=?
284.png	3+4=?
285.png	4/1=?
286.png	2-2=?
287.png	4*3=?
288.png	6/3=?
289.png	5+7=?
290.png	9-2=?
291.png	0/5=?
292.png	5*3=?
293.png	1-0=?
294.png	9-8=?
295.png	4+9=?
296.png	5-0=?
297.png	3+5=?
298.png	0+7=?
299.png	8+4=?
300.png	4-1=?
301.png	6-6=?
302.png	5-4=?
303.png	4/4=?
304.png	5-3=?
305.png	9+3=?
306.png	9*1=?
307.png	4*5=?
308.png	2/2=?
309.png	8-4=?
310.png	0/3=?
311.png	0+4=?
312.png	6-0=?
313.png	5-0=?
314.png	2-0=?
315.png	2*3=?
316.png	0-0=?
317.png	8-3=?
318.png	3*5=?
319.png	7-5=?
320.png	6-2=?
321.png	9/3=?
322.png	6-0=?
323.png	5+9=?
324.png	4+2=?
325.png	0+1=?
326.png	2-1=?
327.png	9*1=?
328.png	0+3=?
